row_id,review_id,overall_sentiment,ground_truth_sentiment,aspect_sentiment,aspect_summary,high_category
75,38,negative,0,negative,"loosed by, Rs.3000 within Span of 30 days.",INFRASTRUCTURE
78,39,negative,0,negative,signal problems,PHONE
79,39,negative,0,negative,problems with incoming calls,PHONE
77,39,negative,0,negative,Not Worth,GENERAL_FEEDBACK
80,40,positive,1,positive,camera quality is too good,PHONE
81,40,positive,1,positive,best phone in this rate,GENERAL_FEEDBACK
82,41,positive,1,positive,It works very well.,GENERAL_FEEDBACK
83,42,positive,1,positive,Good features.,PHONE
84,42,positive,1,positive,Very good mobile at lower price.,GENERAL_FEEDBACK
85,42,positive,1,positive,Amazing product.,GENERAL_FEEDBACK
88,43,positive,1,positive,it is fast for using,PHONE
87,43,positive,1,positive,Good quality of camera,PHONE
86,43,positive,1,positive,Very good mobile at this price,GENERAL_FEEDBACK
89,44,negative,0,negative,Camera quality is also not good.,PHONE
90,44,negative,0,negative,After using only 3-4 mins continuously it get heated.,PHONE
91,45,negative,0,negative,Bigggggggest charging issue.,PHONE
92,45,negative,0,negative,Worst phone I have ever purchased.,GENERAL_FEEDBACK
93,46,negative,0,negative,Poor,GENERAL_FEEDBACK
94,47,negative,0,negative,charging of phone is very slow its take around 10 hr to full charge,PHONE
96,48,negative,0,negative,Battery performance also very low,PHONE
97,48,negative,0,negative,network problem is permanent,PHONE
95,48,negative,0,negative,camera quality very low,PHONE
98,49,positive,1,positive,Good phone,GENERAL_FEEDBACK
99,50,positive,1,positive,Nice performance with 4gb RM and 64gb inbuilt memory,PHONE
100,51,positive,1,positive,Superb featurs.,PHONE
101,51,positive,1,positive,Good battery,PHONE
102,52,positive,1,positive,Value for money,GENERAL_FEEDBACK
103,53,positive,1,positive,Nice,GENERAL_FEEDBACK
104,54,positive,1,positive,this is very beautiful and good looking this Lenovo k8,PHONE
105,55,negative,0,negative,Heating problem while we see you on YouTube half an hour,PHONE
106,55,negative,0,negative,Audio breakups were happened.,PHONE
107,55,negative,0,negative,Bluetooth problem while connecting bluetooth speaker.,PHONE
110,56,positive,0,negative,heating problem exists.,PHONE
108,56,positive,0,positive,But it is a better choice.,GENERAL_FEEDBACK
109,56,positive,0,positive,Good phone,GENERAL_FEEDBACK
111,57,negative,0,negative,Battery standby problem,PHONE
115,58,positive,1,positive,long battery back up,PHONE
112,58,positive,1,positive,Nice Mobile,GENERAL_FEEDBACK
113,58,positive,1,positive,Jet speed to run any apps.,PHONE
114,58,positive,1,positive,Really killer camera,PHONE
116,59,positive,1,positive,Amazing product,GENERAL_FEEDBACK
117,60,positive,1,positive,Ok,GENERAL_FEEDBACK
121,61,negative,0,negative,contacts VCF files only download with Google drive not by SD card,PHONE
120,61,negative,0,negative,screen cast can't work with TV miracast,PHONE
118,61,negative,0,negative,total disappointed,GENERAL_FEEDBACK
119,61,negative,0,negative,fast charging is take upto 2.15 hours,PHONE
122,62,negative,0,negative,The biggest con of this phone is its battery.,PHONE
123,62,negative,0,negative,Battery could not last for a day.,PHONE
124,62,negative,0,positive,"Camera quality is good, not very good.",PHONE
125,62,negative,0,positive,The thing I like most about this device is display.,PHONE
126,62,negative,0,negative,"depth enabled mode, focus is not perfect.",PHONE
127,63,positive,0,positive,good,GENERAL_FEEDBACK
131,64,negative,0,negative,India ka werorst mobile .,GENERAL_FEEDBACK
130,64,negative,0,negative,Battery fully charged offer 1 hour using 100 to 10 % .,PHONE
129,64,negative,0,negative,Network signals full but incoming calls is out of coverage area.,PHONE
128,64,negative,0,negative,lenovo is cheating people.,INFRASTRUCTURE
132,65,positive,1,positive,Nice Mobile.,GENERAL_FEEDBACK
133,66,negative,1,negative,battery backup not up to the mark,PHONE
134,66,negative,1,positive,Mobile is good in this range,GENERAL_FEEDBACK
135,66,negative,1,negative,weight also very high,PHONE
136,67,positive,1,positive,good to have it at this price point,GENERAL_FEEDBACK
140,68,positive,0,positive,Improve in camera in new update slow mo added,PHONE
138,68,positive,0,negative,still need system updated.,PHONE
137,68,positive,0,positive,no heating issue now,PHONE
139,68,positive,0,negative,System updates are very slow,INFRASTRUCTURE
141,69,positive,1,positive,Superb,GENERAL_FEEDBACK
142,70,positive,1,positive,Excellent mobile phone,GENERAL_FEEDBACK
143,71,positive,1,positive,Very very good product,GENERAL_FEEDBACK
144,71,positive,1,positive,its really fast,PHONE
145,72,negative,0,negative,Heating issues,PHONE
146,72,negative,0,positive,Fast delivery,INFRASTRUCTURE
147,72,negative,0,negative,mobile not worth rs.10000,GENERAL_FEEDBACK
148,72,negative,0,negative,"No gestures, no latest features",PHONE
149,73,positive,1,positive,Best mobile.,GENERAL_FEEDBACK
150,73,positive,1,positive,Great specifications .,PHONE
151,73,positive,1,positive,Camera is too cleare focus is too sharp and fast,PHONE
152,74,positive,1,positive,Verigood Verigood.best,GENERAL_FEEDBACK
154,75,negative,0,negative,when talking over the phone feels like nerve pulling to much radiation,PHONE
155,75,negative,0,negative,Android 7.1.1 naugat doesn't have call recording option,PHONE
153,75,negative,0,positive,Camera quality is good not bad,PHONE
156,75,negative,0,negative,product not delivered on time dissatisfied 2 weeks.,INFRASTRUCTURE
157,76,positive,1,positive,Excellent Product,GENERAL_FEEDBACK
158,77,positive,1,positive,Nice & amazing,GENERAL_FEEDBACK
159,78,negative,0,negative,The device restarts automatically,PHONE
160,79,negative,0,negative,Thoroughly dissatisfied with the phone.,GENERAL_FEEDBACK
161,80,positive,1,positive,Really killer,GENERAL_FEEDBACK
162,81,negative,0,positive,Rest all good.CameraDesignPerformance Etc,PHONE
163,81,negative,0,negative,This super turbo charger they calling is waste.,PHONE
164,81,negative,0,negative,Battery draining in idle mode.,PHONE
165,81,negative,0,negative,Battery performance of this device is very very poor.,PHONE
166,82,negative,0,negative,To wrest phone is hang problem,PHONE
167,83,positive,1,positive,Happy with the product,GENERAL_FEEDBACK
169,84,negative,0,negative,Very bad product..,GENERAL_FEEDBACK
168,84,negative,0,negative,lots of malfunction..,PHONE
170,85,negative,0,negative,the camera quality is also not good,PHONE
171,85,negative,0,positive,The look and sleekness of this phone is good.,PHONE
172,85,negative,0,negative,there is no voice call recorder,PHONE
173,85,negative,0,negative,features in this phone is very less,PHONE
174,85,negative,0,negative,no sound controler option in shortcut shutter,PHONE
180,86,negative,0,negative,Third class phone,GENERAL_FEEDBACK
179,86,negative,0,negative,It stucks anytime without any load to ram,PHONE
178,86,negative,0,negative,battery is also Third class defuces in very short time,PHONE
176,86,negative,0,negative,Gallery and many othet apps aren't available,PHONE
175,86,negative,0,negative,it often shows that process.android.com stopped working,PHONE
177,86,negative,0,negative,turbo charge works sometimes but most of the time it works as normal charger.,PHONE
181,87,negative,0,negative,the problem was it gets shut down while charging,PHONE
182,87,negative,0,positive,Ok with the product,GENERAL_FEEDBACK
183,88,negative,1,negative,i replace 3 times turbo charger in allahabad service centre within 6 month,INFRASTRUCTURE
184,88,negative,1,positive,I love Lenovo k8 note handset,GENERAL_FEEDBACK
185,88,negative,1,negative,it becomes turbo charging to slow charging,PHONE
186,89,positive,1,positive,Really good to buy,GENERAL_FEEDBACK
187,90,positive,1,positive,Great features..,PHONE
188,91,negative,0,negative,Gift raping is very poor,INFRASTRUCTURE
189,91,negative,0,negative,Words also very small,PHONE
190,92,negative,0,negative,I personally don't recommend to buy this product if anyone want to connect TV over CAST screen option.,PHONE
191,92,negative,0,negative,Option is available but not compatible with any other device other than Chromecast for casting,PHONE
192,93,positive,1,positive,Good,GENERAL_FEEDBACK
193,94,positive,1,positive,features are pretty good,PHONE
194,94,positive,1,negative,some small problems arises now and then,GENERAL_FEEDBACK
195,94,positive,1,positive,worth the money,GENERAL_FEEDBACK
200,95,positive,1,positive,the phone is v.good and with lots of good features and killer look too.,PHONE
199,95,positive,1,positive,I just love mobile the best mobile of this year.,GENERAL_FEEDBACK
198,95,positive,1,positive,got fast delivery,INFRASTRUCTURE
197,95,positive,1,negative,sim slot was not working,PHONE
196,95,positive,1,negative,It get hot in less time,PHONE
201,96,negative,0,negative,it works worse than a quad core processed phone.,PHONE
202,96,negative,0,negative,Worst for gaming and music..,PHONE
203,96,negative,0,negative,the ram keeps on working for 50 - 60% even while the phone is not in use.,PHONE
204,96,negative,0,negative,Battery could be made better.,PHONE
205,96,negative,0,positive,Decent camera and display.,PHONE
206,96,negative,0,negative,one of them (left) doesn't have a speaker just holes to cheat buyers.,PHONE
207,97,positive,1,positive,Really awsome,GENERAL_FEEDBACK
208,98,negative,0,negative,There is heating and battery backup problem,PHONE
209,99,positive,1,positive,Nice phone,GENERAL_FEEDBACK
210,100,negative,0,positive,Product is good.,GENERAL_FEEDBACK
211,100,negative,0,negative,"Purchased on sep-17 and got cash back on 25Dec17. what a way to make fool, they called it cash back.",INFRASTRUCTURE
212,101,positive,1,positive,Nice mobile,GENERAL_FEEDBACK
213,102,negative,1,positive,Mobile is good .,GENERAL_FEEDBACK
214,102,negative,1,negative,But heating problem is one thing that..effecting it's popularity.,PHONE
215,103,positive,1,positive,In this segment it's very good product,GENERAL_FEEDBACK
216,103,positive,1,positive,Camera is also great,PHONE
217,103,positive,1,positive,Sound is great,PHONE
220,104,negative,0,positive,Mobile in good working process more than expect,PHONE
218,104,negative,0,negative,charger have big drawback it's not a turbo charger,PHONE
219,104,negative,0,negative,very late charging the mobile,PHONE
221,105,negative,0,negative,worst experience from lenovo.,GENERAL_FEEDBACK
222,105,negative,0,negative,i bought k5 note and got mic problems.,PHONE
223,105,negative,0,negative,"now i m facing battery problem, camera problems.",PHONE
224,106,positive,1,positive,Great phone,GENERAL_FEEDBACK
225,107,positive,0,positive,Nice..,GENERAL_FEEDBACK
226,108,positive,1,positive,Good,GENERAL_FEEDBACK
227,109,positive,1,positive,Like it,GENERAL_FEEDBACK
228,110,negative,1,negative,Dual Camera is not upto the Mark.....,PHONE
229,110,negative,1,positive,Apart From that no issues at all.....,GENERAL_FEEDBACK
230,110,negative,1,negative,4G+4G logic Needs to be made clear....,PHONE
231,111,negative,0,negative,very much disappointed with the Dolby Atmos feature on the Lenovo K 8.,PHONE
232,111,negative,0,negative,It does not sound good at all.,PHONE
233,111,negative,0,negative,it sound so weak and not punching at all,PHONE
234,112,negative,0,negative,It's battery is draining very fast.,PHONE
236,113,negative,1,negative,Back camera images not so good.,PHONE
235,113,negative,1,negative,a yellow shadow occurred,PHONE
238,114,negative,0,negative,Performance is also wrost.,PHONE
239,114,negative,0,negative,Functions of the phone are not good.,PHONE
237,114,negative,0,negative,Total waste of money.,GENERAL_FEEDBACK
240,115,positive,1,positive,Nice product,GENERAL_FEEDBACK
241,116,negative,0,negative,the worst phone I bought again from the lenovo.,GENERAL_FEEDBACK
242,116,negative,0,negative,battery drain in idle time.,PHONE
243,116,negative,0,negative,dual camera is a joke.,PHONE
244,116,negative,0,negative,still no fix update as lenovo known for it.,INFRASTRUCTURE
245,117,positive,1,positive,Very good,GENERAL_FEEDBACK
246,118,negative,1,positive,Good mobile,GENERAL_FEEDBACK
247,118,negative,1,negative,heating problem but its normal,PHONE
248,119,negative,0,negative,Bad quality,GENERAL_FEEDBACK
249,120,negative,0,positive,Phn is gud n nice.,GENERAL_FEEDBACK
250,120,negative,0,negative,the battery is draining too fast.,PHONE
251,120,negative,0,negative,battery is not 4000mah too bad,PHONE
252,121,positive,1,positive,Nice,GENERAL_FEEDBACK
253,122,negative,0,negative,some time display is not working prpperly,PHONE
254,123,positive,1,positive,Except that all features and working so nice,GENERAL_FEEDBACK
255,123,positive,1,negative,Major disadvantage of this model is battery is not detachable..,PHONE
256,124,positive,1,positive,battery backup is very good,PHONE
258,125,negative,1,negative,"slot 2 supports only 3G, not 4G.",PHONE
257,125,negative,1,negative,I am not fully satisfied with this product,GENERAL_FEEDBACK
259,126,negative,0,negative,It's just a okay phone.,GENERAL_FEEDBACK
260,126,negative,0,negative,No such effects of dual cameras.,PHONE
261,127,negative,0,negative,Not a dual 4g support,PHONE
262,128,positive,1,negative,One sim slot is 3g that is disadvantage,PHONE
263,128,positive,1,positive,otherwise awesome,GENERAL_FEEDBACK
268,129,negative,0,negative,Delay in camera operating response.,PHONE
266,129,negative,0,negative,sometimes mobiles struck and delay in responding.,PHONE
267,129,negative,0,negative,4000Mah Battery runs out quickly like 3100 mah.,PHONE
264,129,negative,0,negative,Very worst mobile in this range.,GENERAL_FEEDBACK
265,129,negative,0,positive,Features are really good,GENERAL_FEEDBACK
269,130,negative,0,negative,Very bad camera.,PHONE
270,131,negative,1,positive,Front camera good,PHONE
271,131,negative,1,negative,sound need to improve,PHONE
272,132,positive,1,positive,Amazing product in reasonable price range.,GENERAL_FEEDBACK
275,133,negative,0,negative,Double tap wakeup is not working properly.,PHONE
273,133,negative,0,negative,"Left speaker channel is false, only right speaker working.",PHONE
274,133,negative,0,negative,Camera is avarage.,PHONE
276,133,negative,0,negative,Earphone sound quality is not better,PHONE
277,134,negative,0,negative,Poor camera,PHONE
278,135,negative,0,negative,Not a good product...,GENERAL_FEEDBACK
279,136,positive,1,positive,The product is awesome,GENERAL_FEEDBACK
280,137,positive,1,positive,Great phone,GENERAL_FEEDBACK
281,138,negative,0,negative,Hang hota Hai phone,PHONE
282,139,negative,0,positive,Great phone with excellent connectivity.,PHONE
283,139,negative,0,positive,Quick charging and excellent talk time due to the large battery.,PHONE
284,139,negative,0,negative,the Bluetooth connection on this phone is intermittent and unstable.,PHONE
285,139,negative,0,negative,the claimed gorilla glass 3 screen is probably ordinary glass as it cracked,PHONE
290,140,negative,1,negative,Photos takes a lot more memory but not as much clarity,PHONE
289,140,negative,1,negative,"Notification sounds can't be adjusted, is a bit annoying.",PHONE
288,140,negative,1,negative,Feels a bit heavy.,PHONE
287,140,negative,1,positive,Good phone.,GENERAL_FEEDBACK
286,140,negative,1,positive,Fast delivery.,INFRASTRUCTURE
291,141,negative,0,negative,I want return it,INFRASTRUCTURE
292,142,negative,0,positive,This mobile's performance so good.,PHONE
293,142,negative,0,negative,it's battery does note perform as another 4000mhz battery mobile.,PHONE
294,143,negative,0,negative,Very poor battery,PHONE
295,143,negative,0,negative,Battery drain within 8 hrs,PHONE
296,144,positive,1,positive,It is good 😎😎 smooth !!,PHONE
299,145,negative,0,negative,Not Too Good,GENERAL_FEEDBACK
298,145,negative,0,negative,Auto touch to screen So Huge problem is,PHONE
297,145,negative,0,positive,Configuration is High,PHONE
300,146,negative,0,negative,Average phone at this price segment.,GENERAL_FEEDBACK
301,146,negative,0,negative,cameras are supposed to be high performance but not satisfied.,PHONE
302,146,negative,0,positive,Battery charged quickly,PHONE
303,146,negative,0,negative,lasts for a full day only.,PHONE
304,147,positive,1,positive,I'm really happy about the product in all specifications,GENERAL_FEEDBACK
305,147,positive,1,positive,thanks to Amazon for given me good and non damaged product in time.,INFRASTRUCTURE
307,148,positive,1,positive,"The best phone in terms of specifications, audio sound, battery, screen,camera, ram, rom alongwith corning gorilla glass.",PHONE
306,148,positive,1,positive,All the best things in a mobile without burning ur pocket.,GENERAL_FEEDBACK
308,149,negative,1,negative,Lacks some apps like pc connection etc.,PHONE
309,150,positive,1,positive,Good phone after update,GENERAL_FEEDBACK
310,151,positive,0,positive,It's good,GENERAL_FEEDBACK
311,152,negative,0,negative,Camera is not also good.,PHONE
312,152,negative,0,negative,In only 2.5 month it started hanging,PHONE
315,153,negative,0,negative,game ka hanging issue hai,PHONE
313,153,negative,0,negative,copy phone bhej diya,INFRASTRUCTURE
314,153,negative,0,negative,service bhi nai dete,INFRASTRUCTURE
316,154,negative,0,negative,Volte Calls & SMS not coming in when the phone is in standby mode..,PHONE
318,155,positive,1,positive,All things are good about this phone.,GENERAL_FEEDBACK
317,155,positive,1,positive,Smoothly running and no problem till now,PHONE
320,156,positive,1,negative,camera is not so good as 13mp,PHONE
321,156,positive,1,negative,heating problem during charging,PHONE
319,156,positive,1,positive,Over all it's good phone,GENERAL_FEEDBACK
322,157,positive,0,negative,Worst depth effect,PHONE
323,157,positive,0,positive,the selfie here is literally good as compare to other phones in this price range,PHONE
324,157,positive,0,negative,this phone will not save your battery as Redmi phones does,PHONE
325,157,positive,0,positive,Lenovo is providing you fast charger which is about 15w,PHONE
326,158,positive,1,positive,"Camera quality, processor, turbo charging and many more fabulous features.",PHONE
327,158,positive,1,negative,sometimes heating problem may occur.,PHONE
328,158,positive,1,positive,Its an excellent phone,GENERAL_FEEDBACK
329,159,positive,1,positive,Good mobile nice parfomce,PHONE
330,160,positive,1,positive,Really Good product,GENERAL_FEEDBACK
331,161,positive,1,positive,Good,GENERAL_FEEDBACK
332,162,positive,1,positive,One of the Best Mobiles in recent days,GENERAL_FEEDBACK
333,163,negative,0,negative,No record facilities.,PHONE
334,163,negative,0,negative,No adequate instructions to use,GENERAL_FEEDBACK
335,164,negative,0,negative,It's can't compete with redme note 4,GENERAL_FEEDBACK
336,165,positive,1,positive,Excellent product,GENERAL_FEEDBACK
337,166,negative,0,negative,much more heating when playing simple game,PHONE
338,166,negative,0,negative,do not buy this product.,GENERAL_FEEDBACK
340,167,negative,0,negative,battery life is very poor,PHONE
339,167,negative,0,negative,this phone has hang issue .,PHONE
341,168,positive,1,positive,Nice phone,GENERAL_FEEDBACK
342,169,negative,0,negative,Below key light not available,PHONE
343,169,negative,0,negative,Heating problem,PHONE
344,169,negative,0,negative,Automatic call recorder not available,PHONE
345,169,negative,0,negative,Battery backup not good,PHONE
346,170,positive,1,positive,Good mobile.....Good performance....,PHONE
347,171,negative,0,negative,Phone is just ok...don't expect much...,GENERAL_FEEDBACK
349,172,negative,0,negative,Battery charge takes a lot of tym in turbo chrger,PHONE
350,172,negative,0,negative,not good selfie camera,PHONE
348,172,negative,0,negative,Heating too quickly,PHONE
351,173,positive,0,negative,accessories are bad quality.,PHONE
352,173,positive,0,positive,Good handset,GENERAL_FEEDBACK
353,173,positive,0,negative,charger damaged in 2 month.,PHONE
354,174,negative,0,negative,They know this issue and are cheating customers.,INFRASTRUCTURE
355,174,negative,0,negative,"Battery drains too fast , even when kept idle .",PHONE
356,175,positive,1,positive,Super,GENERAL_FEEDBACK
357,176,positive,1,positive,nice one....,GENERAL_FEEDBACK
358,177,positive,1,positive,Love it.,GENERAL_FEEDBACK
359,178,negative,0,negative,unfortunately its the same older one no update already made.,PHONE
360,179,negative,0,negative,Don't buy this product ekdum bakwas,GENERAL_FEEDBACK
361,180,positive,1,positive,Excellent performance.,PHONE
362,181,negative,0,negative,camera is also not as claimed.,PHONE
363,181,negative,0,negative,Battery back up is frustrating. Getting discharged very fast.,PHONE
364,182,negative,0,negative,Battery backup is very poor,PHONE
371,183,positive,1,negative,Side buttons was very loose this is a problem,PHONE
370,183,positive,1,positive,Front camera was good and back also,PHONE
368,183,positive,1,positive,Finger print senser was very fast,PHONE
369,183,positive,1,positive,Battery was good,PHONE
366,183,positive,1,positive,Phone is very fast,PHONE
365,183,positive,1,positive,Very nice phone,GENERAL_FEEDBACK
367,183,positive,1,negative,1st time charging may led to heating,PHONE
372,184,positive,1,positive,Works well with long lasting battery,PHONE
373,184,positive,1,positive,with less heating even with double sim and mobile data.,PHONE
376,185,positive,1,positive,Highly recommend to all age group,GENERAL_FEEDBACK
374,185,positive,1,positive,Nice camera clarity with good battery backup.,PHONE
375,185,positive,1,positive,Screen quality is really nice.,PHONE
379,186,positive,1,positive,phone is nice at this price,GENERAL_FEEDBACK
380,186,positive,1,positive,every thing is fantastic in this phone,GENERAL_FEEDBACK
377,186,positive,1,negative,not satisfied in depth camera mode,PHONE
378,186,positive,1,positive,battery is performing good,PHONE
381,187,positive,1,positive,It is Fast fast Operating system.,PHONE
382,187,positive,1,positive,Good Storages,PHONE
383,187,positive,1,positive,internet and calling is good because of a LTE Network over 4G.,PHONE
384,187,positive,1,positive,It doesn't get hang.,PHONE
385,188,positive,0,positive,Normal smartphone with bit of bugs... With for the cost...,PHONE
386,189,negative,0,negative,Very very poor product,GENERAL_FEEDBACK
388,190,negative,0,negative,no proper response from Lenovo customer care,INFRASTRUCTURE
389,190,negative,0,negative,seriously don't buy..full of crap and traps,GENERAL_FEEDBACK
387,190,negative,0,negative,Worst phone..several issues,GENERAL_FEEDBACK
390,191,positive,1,positive,lovely,GENERAL_FEEDBACK
391,192,negative,1,positive,Phone is very good.,GENERAL_FEEDBACK
392,192,negative,1,negative,I ordered a venom black variant & received gold variant.,INFRASTRUCTURE
393,193,positive,1,positive,Very good,GENERAL_FEEDBACK
394,194,positive,1,positive,Very good.,GENERAL_FEEDBACK
395,195,negative,0,negative,Battery performance and charging time is really bad and worst,PHONE
396,196,positive,1,positive,"Good phone, smoothly work touchscreen",PHONE
397,197,positive,1,positive,Great features under 15k rs.,GENERAL_FEEDBACK
398,197,positive,1,positive,I'm totally satisfied with it,GENERAL_FEEDBACK
399,198,positive,1,positive,Amazing performance,PHONE
401,199,positive,1,positive,amazing service by amazon.,INFRASTRUCTURE
400,199,positive,1,positive,Worth the money,GENERAL_FEEDBACK
402,200,positive,1,positive,Worthy purchase,GENERAL_FEEDBACK
403,200,positive,1,positive,handy & smooth touch,PHONE
404,201,positive,1,positive,Perfect Product,GENERAL_FEEDBACK
405,201,positive,1,positive,100% happy,GENERAL_FEEDBACK
406,202,negative,0,negative,Amazon and lenovo is not supporting properly if there is an issue,INFRASTRUCTURE
407,202,negative,0,negative,Product is worst,GENERAL_FEEDBACK
408,203,negative,0,negative,Phone has some serious OS issues,PHONE
409,203,negative,0,negative,Amazon is not ready to refund the amount.,INFRASTRUCTURE
410,203,negative,0,negative,one of the worst phone I purchased.,GENERAL_FEEDBACK
412,204,negative,0,negative,Headphone jack and hotspot not working.,PHONE
411,204,negative,0,negative,I got defected piece .,PHONE
413,205,negative,0,negative,Poor battery,PHONE
414,205,negative,0,negative,a lot of heating even for normal usage.,PHONE
415,206,negative,0,negative,When I dubble tap on image that can't zoom.,PHONE
416,207,negative,0,negative,In this phone don't have Gallery opetion or menu,PHONE
417,208,negative,0,negative,Call Recorder only records one side voice,PHONE
418,208,negative,0,negative,Network Reception is poor compared other devices,PHONE
419,208,negative,0,negative,haven't got anything yet,INFRASTRUCTURE
420,209,negative,0,negative,Very poor sound quality.,PHONE
421,210,positive,0,positive,Asome phone,GENERAL_FEEDBACK
422,211,negative,0,negative,The worst products i have ever buy.,GENERAL_FEEDBACK
423,212,negative,0,negative,issues with mic,PHONE
424,212,negative,0,negative,Too much heating,PHONE
425,212,negative,0,negative,battery drains up very very quickly,PHONE
426,212,negative,0,negative,most of the time calls inaudible,PHONE
427,213,positive,1,positive,Express delivery,INFRASTRUCTURE
430,214,positive,1,positive,No problem when connecting to PC/Laptop.,PHONE
431,214,positive,1,positive,Very nice Lenovo k8 note.,GENERAL_FEEDBACK
428,214,positive,1,positive,Both cameras are very good quality.,PHONE
429,214,positive,1,positive,Battery backup is very good.,PHONE
432,215,positive,0,positive,Good,GENERAL_FEEDBACK
433,216,negative,1,positive,Nice phone with great features at this price.,GENERAL_FEEDBACK
434,216,negative,1,negative,my phone gets off anytime without any reason.,PHONE
435,217,negative,1,positive,Very gud phone excellent resolution,PHONE
436,217,negative,1,positive,camera is supurb,PHONE
437,217,negative,1,negative,i'm having some battery and heating issues..,PHONE
