row_id,review_id,overall_sentiment,ground_truth_sentiment,aspect_sentiment,aspect_summary,high_category,main_category
24,13,negative,0,negative,faced the battery problem and motherboard problem with in 8 months.,PHONE,BATTERY
25,14,positive,1,positive,slim,PHONE,DESIGN
26,14,positive,1,positive,good screen,PHONE,DISPLAY
27,14,positive,1,positive,good battry backup,PHONE,BATTERY
28,14,positive,1,positive,Very good phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
29,15,negative,0,negative,headset is not available,INFRASTRUCTURE,DELIVERY
30,16,negative,0,negative,every time automatic on and off,PHONE,SOFTWARE
31,17,positive,1,positive,Best product according to their prize range,GENERAL_FEEDBACK,PRICE & VALUE
32,17,positive,1,positive,It was 1 of the best deal ever which I hv done on Amazon,INFRASTRUCTURE,POLICY CLARITY & TRUSTWORTHINESS
33,18,negative,0,negative,Battery draining very rapidly,PHONE,BATTERY
34,19,positive,1,positive,Good smartphone,GENERAL_FEEDBACK,OVERALL SATISFACTION
35,20,positive,1,positive,good,GENERAL_FEEDBACK,OVERALL SATISFACTION
36,21,negative,0,negative,Galery problem,PHONE,SOFTWARE
37,21,negative,0,negative,there is not atmos speaker,PHONE,AUDIO
41,22,positive,1,positive,excelent battery,PHONE,BATTERY
40,22,positive,1,positive,excellent features,PHONE,SOFTWARE
38,22,positive,1,positive,Excellent camera,PHONE,CAMERA
39,22,positive,1,positive,excellent speed,PHONE,PERFORMANCE
42,23,positive,1,positive,It ok good product,GENERAL_FEEDBACK,OVERALL SATISFACTION
43,24,negative,0,negative,camera are very poor,PHONE,CAMERA
44,24,negative,0,negative,Os is not good,PHONE,SOFTWARE
45,24,negative,0,negative,Battery draining very quickly,PHONE,BATTERY
46,25,negative,0,negative,Does not have many options like cast screen,PHONE,SOFTWARE
47,25,negative,0,negative,No call recording option available,PHONE,SOFTWARE
48,25,negative,0,negative,Doesn't even connect mobile hotspot,PHONE,CONNECTIVITY
49,26,negative,0,negative,They have not gave with phone USB cable,INFRASTRUCTURE,DELIVERY
52,27,positive,1,positive,display has been improved,PHONE,DISPLAY
50,27,positive,1,positive,Awesome phone in this price,GENERAL_FEEDBACK,PRICE & VALUE
51,27,positive,1,positive,It is fast,PHONE,PERFORMANCE
53,28,negative,0,positive,The best of specifications,PHONE,PERFORMANCE
54,28,negative,0,negative,worst of functions,PHONE,SOFTWARE
55,28,negative,0,negative,The worst phone any1 can ever buy,GENERAL_FEEDBACK,OVERALL SATISFACTION
56,29,negative,0,negative,This Fon has two speekars but only one ringing other is non ringing.,PHONE,AUDIO
58,30,negative,0,negative,there is some issue in displaying colors on screen.,PHONE,DISPLAY
57,30,negative,0,positive,Good phone.,GENERAL_FEEDBACK,OVERALL SATISFACTION
61,31,negative,0,positive,"Before the new update of 8.0 Oreo, it worked superbly",PHONE,SOFTWARE
59,31,negative,0,negative,battery is also draining unnecessarily,PHONE,BATTERY
60,31,negative,0,negative,"After that update, my phone got heating up simply",PHONE,BATTERY
62,32,negative,0,negative,Dual SIM are not working.,PHONE,CONNECTIVITY
63,32,negative,0,negative,Poor customer service.,INFRASTRUCTURE,CUSTOMER SUPPORT
64,33,negative,0,positive,Good performance,PHONE,PERFORMANCE
65,33,negative,0,negative,the battery gets oveheated,PHONE,BATTERY
66,34,positive,1,positive,Best camera,PHONE,CAMERA
67,34,positive,1,positive,better backup is very best,PHONE,BATTERY
68,34,positive,1,positive,Full passa wasole phone,GENERAL_FEEDBACK,PRICE & VALUE
69,35,positive,1,positive,Wonderful best phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
73,36,negative,0,negative,Bad performance,PHONE,PERFORMANCE
70,36,negative,0,negative,mobile restarts whenever it feels like,PHONE,SOFTWARE
71,36,negative,0,negative,signal goes off frequently,PHONE,CONNECTIVITY
72,36,negative,0,negative,phone bcoms hot while charging,PHONE,BATTERY
74,37,positive,1,positive,Best all round performance ever!!,PHONE,PERFORMANCE
76,38,negative,0,negative,No trust worthy deals from Amazon.,INFRASTRUCTURE,POLICY CLARITY & TRUSTWORTHINESS
75,38,negative,0,negative,"loosed by, Rs.3000 within Span of 30 days.",INFRASTRUCTURE,POLICY CLARITY & TRUSTWORTHINESS
78,39,negative,0,negative,signal problems,PHONE,CONNECTIVITY
79,39,negative,0,negative,problems with incoming calls,PHONE,CONNECTIVITY
77,39,negative,0,negative,Not Worth,GENERAL_FEEDBACK,PRICE & VALUE
80,40,positive,1,positive,camera quality is too good,PHONE,CAMERA
81,40,positive,1,positive,best phone in this rate,GENERAL_FEEDBACK,PRICE & VALUE
82,41,positive,1,positive,It works very well.,GENERAL_FEEDBACK,OVERALL SATISFACTION
83,42,positive,1,positive,Good features.,PHONE,SOFTWARE
84,42,positive,1,positive,Very good mobile at lower price.,GENERAL_FEEDBACK,PRICE & VALUE
85,42,positive,1,positive,Amazing product.,GENERAL_FEEDBACK,OVERALL SATISFACTION
88,43,positive,1,positive,it is fast for using,PHONE,PERFORMANCE
87,43,positive,1,positive,Good quality of camera,PHONE,CAMERA
86,43,positive,1,positive,Very good mobile at this price,GENERAL_FEEDBACK,PRICE & VALUE
89,44,negative,0,negative,Camera quality is also not good.,PHONE,CAMERA
90,44,negative,0,negative,After using only 3-4 mins continuously it get heated.,PHONE,BATTERY
91,45,negative,0,negative,Bigggggggest charging issue.,PHONE,BATTERY
92,45,negative,0,negative,Worst phone I have ever purchased.,GENERAL_FEEDBACK,OVERALL SATISFACTION
93,46,negative,0,negative,Poor,GENERAL_FEEDBACK,OVERALL SATISFACTION
94,47,negative,0,negative,charging of phone is very slow its take around 10 hr to full charge,PHONE,BATTERY
96,48,negative,0,negative,Battery performance also very low,PHONE,BATTERY
97,48,negative,0,negative,network problem is permanent,PHONE,CONNECTIVITY
95,48,negative,0,negative,camera quality very low,PHONE,CAMERA
98,49,positive,1,positive,Good phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
99,50,positive,1,positive,Nice performance with 4gb RM and 64gb inbuilt memory,PHONE,PERFORMANCE
100,51,positive,1,positive,Superb featurs.,PHONE,SOFTWARE
101,51,positive,1,positive,Good battery,PHONE,BATTERY
102,52,positive,1,positive,Value for money,GENERAL_FEEDBACK,PRICE & VALUE
103,53,positive,1,positive,Nice,GENERAL_FEEDBACK,OVERALL SATISFACTION
104,54,positive,1,positive,this is very beautiful and good looking this Lenovo k8,PHONE,DESIGN
105,55,negative,0,negative,Heating problem while we see you on YouTube half an hour,PHONE,BATTERY
106,55,negative,0,negative,Audio breakups were happened.,PHONE,AUDIO
107,55,negative,0,negative,Bluetooth problem while connecting bluetooth speaker.,PHONE,CONNECTIVITY
110,56,positive,0,negative,heating problem exists.,PHONE,BATTERY
108,56,positive,0,positive,But it is a better choice.,GENERAL_FEEDBACK,COMPETITOR COMPARISON
109,56,positive,0,positive,Good phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
111,57,negative,0,negative,Battery standby problem,PHONE,BATTERY
115,58,positive,1,positive,long battery back up,PHONE,BATTERY
112,58,positive,1,positive,Nice Mobile,GENERAL_FEEDBACK,OVERALL SATISFACTION
113,58,positive,1,positive,Jet speed to run any apps.,PHONE,PERFORMANCE
114,58,positive,1,positive,Really killer camera,PHONE,CAMERA
116,59,positive,1,positive,Amazing product,GENERAL_FEEDBACK,OVERALL SATISFACTION
117,60,positive,1,positive,Ok,GENERAL_FEEDBACK,OVERALL SATISFACTION
121,61,negative,0,negative,contacts VCF files only download with Google drive not by SD card,PHONE,SOFTWARE
120,61,negative,0,negative,screen cast can't work with TV miracast,PHONE,CONNECTIVITY
118,61,negative,0,negative,total disappointed,GENERAL_FEEDBACK,OVERALL SATISFACTION
119,61,negative,0,negative,fast charging is take upto 2.15 hours,PHONE,BATTERY
122,62,negative,0,negative,The biggest con of this phone is its battery.,PHONE,BATTERY
123,62,negative,0,negative,Battery could not last for a day.,PHONE,BATTERY
124,62,negative,0,positive,"Camera quality is good, not very good.",PHONE,CAMERA
125,62,negative,0,positive,The thing I like most about this device is display.,PHONE,DISPLAY
126,62,negative,0,negative,"depth enabled mode, focus is not perfect.",PHONE,CAMERA
127,63,positive,0,positive,good,GENERAL_FEEDBACK,OVERALL SATISFACTION
131,64,negative,0,negative,India ka werorst mobile .,GENERAL_FEEDBACK,OVERALL SATISFACTION
130,64,negative,0,negative,Battery fully charged offer 1 hour using 100 to 10 % .,PHONE,BATTERY
129,64,negative,0,negative,Network signals full but incoming calls is out of coverage area.,PHONE,CONNECTIVITY
128,64,negative,0,negative,lenovo is cheating people.,INFRASTRUCTURE,POLICY CLARITY & TRUSTWORTHINESS
132,65,positive,1,positive,Nice Mobile.,GENERAL_FEEDBACK,OVERALL SATISFACTION
133,66,negative,1,negative,battery backup not up to the mark,PHONE,BATTERY
134,66,negative,1,positive,Mobile is good in this range,GENERAL_FEEDBACK,PRICE & VALUE
135,66,negative,1,negative,weight also very high,PHONE,DESIGN
136,67,positive,1,positive,good to have it at this price point,GENERAL_FEEDBACK,PRICE & VALUE
140,68,positive,0,positive,Improve in camera in new update slow mo added,PHONE,SOFTWARE
138,68,positive,0,negative,still need system updated.,PHONE,SOFTWARE
137,68,positive,0,positive,no heating issue now,PHONE,BATTERY
139,68,positive,0,negative,System updates are very slow,INFRASTRUCTURE,POLICY CLARITY & TRUSTWORTHINESS
141,69,positive,1,positive,Superb,GENERAL_FEEDBACK,OVERALL SATISFACTION
142,70,positive,1,positive,Excellent mobile phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
143,71,positive,1,positive,Very very good product,GENERAL_FEEDBACK,OVERALL SATISFACTION
144,71,positive,1,positive,its really fast,PHONE,PERFORMANCE
145,72,negative,0,negative,Heating issues,PHONE,BATTERY
146,72,negative,0,positive,Fast delivery,INFRASTRUCTURE,DELIVERY
147,72,negative,0,negative,mobile not worth rs.10000,GENERAL_FEEDBACK,PRICE & VALUE
148,72,negative,0,negative,"No gestures, no latest features",PHONE,SOFTWARE
149,73,positive,1,positive,Best mobile.,GENERAL_FEEDBACK,OVERALL SATISFACTION
150,73,positive,1,positive,Great specifications .,PHONE,PERFORMANCE
151,73,positive,1,positive,Camera is too cleare focus is too sharp and fast,PHONE,CAMERA
152,74,positive,1,positive,Verigood Verigood.best,GENERAL_FEEDBACK,OVERALL SATISFACTION
154,75,negative,0,negative,when talking over the phone feels like nerve pulling to much radiation,PHONE,DESIGN
155,75,negative,0,negative,Android 7.1.1 naugat doesn't have call recording option,PHONE,SOFTWARE
153,75,negative,0,positive,Camera quality is good not bad,PHONE,CAMERA
156,75,negative,0,negative,product not delivered on time dissatisfied 2 weeks.,INFRASTRUCTURE,DELIVERY
157,76,positive,1,positive,Excellent Product,GENERAL_FEEDBACK,OVERALL SATISFACTION
158,77,positive,1,positive,Nice & amazing,GENERAL_FEEDBACK,OVERALL SATISFACTION
159,78,negative,0,negative,The device restarts automatically,PHONE,PERFORMANCE
160,79,negative,0,negative,Thoroughly dissatisfied with the phone.,GENERAL_FEEDBACK,OVERALL SATISFACTION
161,80,positive,1,positive,Really killer,GENERAL_FEEDBACK,OVERALL SATISFACTION
162,81,negative,0,positive,Rest all good.CameraDesignPerformance Etc,PHONE,PERFORMANCE
163,81,negative,0,negative,This super turbo charger they calling is waste.,PHONE,BATTERY
164,81,negative,0,negative,Battery draining in idle mode.,PHONE,BATTERY
165,81,negative,0,negative,Battery performance of this device is very very poor.,PHONE,BATTERY
166,82,negative,0,negative,To wrest phone is hang problem,PHONE,PERFORMANCE
167,83,positive,1,positive,Happy with the product,GENERAL_FEEDBACK,OVERALL SATISFACTION
169,84,negative,0,negative,Very bad product..,GENERAL_FEEDBACK,OVERALL SATISFACTION
168,84,negative,0,negative,lots of malfunction..,PHONE,SOFTWARE
170,85,negative,0,negative,the camera quality is also not good,PHONE,CAMERA
171,85,negative,0,positive,The look and sleekness of this phone is good.,PHONE,DESIGN
172,85,negative,0,negative,there is no voice call recorder,PHONE,SOFTWARE
173,85,negative,0,negative,features in this phone is very less,PHONE,SOFTWARE
174,85,negative,0,negative,no sound controler option in shortcut shutter,PHONE,SOFTWARE
180,86,negative,0,negative,Third class phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
179,86,negative,0,negative,It stucks anytime without any load to ram,PHONE,PERFORMANCE
178,86,negative,0,negative,battery is also Third class defuces in very short time,PHONE,BATTERY
176,86,negative,0,negative,Gallery and many othet apps aren't available,PHONE,SOFTWARE
175,86,negative,0,negative,it often shows that process.android.com stopped working,PHONE,SOFTWARE
177,86,negative,0,negative,turbo charge works sometimes but most of the time it works as normal charger.,PHONE,BATTERY
181,87,negative,0,negative,the problem was it gets shut down while charging,PHONE,BATTERY
182,87,negative,0,positive,Ok with the product,GENERAL_FEEDBACK,OVERALL SATISFACTION
183,88,negative,1,negative,i replace 3 times turbo charger in allahabad service centre within 6 month,INFRASTRUCTURE,RETURNS & EXCHANGES
184,88,negative,1,positive,I love Lenovo k8 note handset,GENERAL_FEEDBACK,OVERALL SATISFACTION
185,88,negative,1,negative,it becomes turbo charging to slow charging,PHONE,BATTERY
186,89,positive,1,positive,Really good to buy,GENERAL_FEEDBACK,OVERALL SATISFACTION
187,90,positive,1,positive,Great features..,PHONE,SOFTWARE
188,91,negative,0,negative,Gift raping is very poor,INFRASTRUCTURE,DELIVERY
189,91,negative,0,negative,Words also very small,PHONE,DISPLAY
190,92,negative,0,negative,I personally don't recommend to buy this product if anyone want to connect TV over CAST screen option.,PHONE,CONNECTIVITY
191,92,negative,0,negative,Option is available but not compatible with any other device other than Chromecast for casting,PHONE,CONNECTIVITY
192,93,positive,1,positive,Good,GENERAL_FEEDBACK,OVERALL SATISFACTION
193,94,positive,1,positive,features are pretty good,PHONE,SOFTWARE
194,94,positive,1,negative,some small problems arises now and then,GENERAL_FEEDBACK,OVERALL SATISFACTION
195,94,positive,1,positive,worth the money,GENERAL_FEEDBACK,PRICE & VALUE
200,95,positive,1,positive,the phone is v.good and with lots of good features and killer look too.,PHONE,SOFTWARE
199,95,positive,1,positive,I just love mobile the best mobile of this year.,GENERAL_FEEDBACK,OVERALL SATISFACTION
198,95,positive,1,positive,got fast delivery,INFRASTRUCTURE,DELIVERY
197,95,positive,1,negative,sim slot was not working,PHONE,CONNECTIVITY
196,95,positive,1,negative,It get hot in less time,PHONE,BATTERY
201,96,negative,0,negative,it works worse than a quad core processed phone.,PHONE,PERFORMANCE
202,96,negative,0,negative,Worst for gaming and music..,PHONE,PERFORMANCE
203,96,negative,0,negative,the ram keeps on working for 50 - 60% even while the phone is not in use.,PHONE,PERFORMANCE
204,96,negative,0,negative,Battery could be made better.,PHONE,BATTERY
205,96,negative,0,positive,Decent camera and display.,PHONE,CAMERA
206,96,negative,0,negative,one of them (left) doesn't have a speaker just holes to cheat buyers.,PHONE,DESIGN
207,97,positive,1,positive,Really awsome,GENERAL_FEEDBACK,OVERALL SATISFACTION
208,98,negative,0,negative,There is heating and battery backup problem,PHONE,BATTERY
209,99,positive,1,positive,Nice phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
210,100,negative,0,positive,Product is good.,GENERAL_FEEDBACK,OVERALL SATISFACTION
211,100,negative,0,negative,"Purchased on sep-17 and got cash back on 25Dec17. what a way to make fool, they called it cash back.",INFRASTRUCTURE,REFUNDS & CASHBACK
212,101,positive,1,positive,Nice mobile,GENERAL_FEEDBACK,OVERALL SATISFACTION
213,102,negative,1,positive,Mobile is good .,GENERAL_FEEDBACK,OVERALL SATISFACTION
214,102,negative,1,negative,But heating problem is one thing that..effecting it's popularity.,PHONE,BATTERY
215,103,positive,1,positive,In this segment it's very good product,GENERAL_FEEDBACK,COMPETITOR COMPARISON
216,103,positive,1,positive,Camera is also great,PHONE,CAMERA
217,103,positive,1,positive,Sound is great,PHONE,AUDIO
220,104,negative,0,positive,Mobile in good working process more than expect,PHONE,PERFORMANCE
218,104,negative,0,negative,charger have big drawback it's not a turbo charger,PHONE,BATTERY
219,104,negative,0,negative,very late charging the mobile,PHONE,BATTERY
221,105,negative,0,negative,worst experience from lenovo.,GENERAL_FEEDBACK,BRAND TRUST & REPUTATION
222,105,negative,0,negative,i bought k5 note and got mic problems.,PHONE,AUDIO
223,105,negative,0,negative,"now i m facing battery problem, camera problems.",PHONE,BATTERY
224,106,positive,1,positive,Great phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
225,107,positive,0,positive,Nice..,GENERAL_FEEDBACK,OVERALL SATISFACTION
226,108,positive,1,positive,Good,GENERAL_FEEDBACK,OVERALL SATISFACTION
227,109,positive,1,positive,Like it,GENERAL_FEEDBACK,OVERALL SATISFACTION
228,110,negative,1,negative,Dual Camera is not upto the Mark.....,PHONE,CAMERA
229,110,negative,1,positive,Apart From that no issues at all.....,GENERAL_FEEDBACK,OVERALL SATISFACTION
230,110,negative,1,negative,4G+4G logic Needs to be made clear....,PHONE,CONNECTIVITY
231,111,negative,0,negative,very much disappointed with the Dolby Atmos feature on the Lenovo K 8.,PHONE,AUDIO
232,111,negative,0,negative,It does not sound good at all.,PHONE,AUDIO
233,111,negative,0,negative,it sound so weak and not punching at all,PHONE,AUDIO
234,112,negative,0,negative,It's battery is draining very fast.,PHONE,BATTERY
236,113,negative,1,negative,Back camera images not so good.,PHONE,CAMERA
235,113,negative,1,negative,a yellow shadow occurred,PHONE,DISPLAY
238,114,negative,0,negative,Performance is also wrost.,PHONE,PERFORMANCE
239,114,negative,0,negative,Functions of the phone are not good.,PHONE,SOFTWARE
237,114,negative,0,negative,Total waste of money.,GENERAL_FEEDBACK,PRICE & VALUE
240,115,positive,1,positive,Nice product,GENERAL_FEEDBACK,OVERALL SATISFACTION
241,116,negative,0,negative,the worst phone I bought again from the lenovo.,GENERAL_FEEDBACK,LOYALTY & REPEAT PURCHASE
242,116,negative,0,negative,battery drain in idle time.,PHONE,BATTERY
243,116,negative,0,negative,dual camera is a joke.,PHONE,CAMERA
244,116,negative,0,negative,still no fix update as lenovo known for it.,INFRASTRUCTURE,POLICY CLARITY & TRUSTWORTHINESS
245,117,positive,1,positive,Very good,GENERAL_FEEDBACK,OVERALL SATISFACTION
246,118,negative,1,positive,Good mobile,GENERAL_FEEDBACK,OVERALL SATISFACTION
247,118,negative,1,negative,heating problem but its normal,PHONE,BATTERY
248,119,negative,0,negative,Bad quality,GENERAL_FEEDBACK,OVERALL SATISFACTION
249,120,negative,0,positive,Phn is gud n nice.,GENERAL_FEEDBACK,OVERALL SATISFACTION
250,120,negative,0,negative,the battery is draining too fast.,PHONE,BATTERY
251,120,negative,0,negative,battery is not 4000mah too bad,PHONE,BATTERY
252,121,positive,1,positive,Nice,GENERAL_FEEDBACK,OVERALL SATISFACTION
253,122,negative,0,negative,some time display is not working prpperly,PHONE,DISPLAY
254,123,positive,1,positive,Except that all features and working so nice,GENERAL_FEEDBACK,OVERALL SATISFACTION
255,123,positive,1,negative,Major disadvantage of this model is battery is not detachable..,PHONE,DESIGN
256,124,positive,1,positive,battery backup is very good,PHONE,BATTERY
258,125,negative,1,negative,"slot 2 supports only 3G, not 4G.",PHONE,CONNECTIVITY
257,125,negative,1,negative,I am not fully satisfied with this product,GENERAL_FEEDBACK,OVERALL SATISFACTION
259,126,negative,0,negative,It's just a okay phone.,GENERAL_FEEDBACK,OVERALL SATISFACTION
260,126,negative,0,negative,No such effects of dual cameras.,PHONE,CAMERA
261,127,negative,0,negative,Not a dual 4g support,PHONE,CONNECTIVITY
262,128,positive,1,negative,One sim slot is 3g that is disadvantage,PHONE,CONNECTIVITY
263,128,positive,1,positive,otherwise awesome,GENERAL_FEEDBACK,OVERALL SATISFACTION
268,129,negative,0,negative,Delay in camera operating response.,PHONE,PERFORMANCE
266,129,negative,0,negative,sometimes mobiles struck and delay in responding.,PHONE,PERFORMANCE
267,129,negative,0,negative,4000Mah Battery runs out quickly like 3100 mah.,PHONE,BATTERY
264,129,negative,0,negative,Very worst mobile in this range.,GENERAL_FEEDBACK,COMPETITOR COMPARISON
265,129,negative,0,positive,Features are really good,GENERAL_FEEDBACK,OVERALL SATISFACTION
269,130,negative,0,negative,Very bad camera.,PHONE,CAMERA
270,131,negative,1,positive,Front camera good,PHONE,CAMERA
271,131,negative,1,negative,sound need to improve,PHONE,AUDIO
272,132,positive,1,positive,Amazing product in reasonable price range.,GENERAL_FEEDBACK,PRICE & VALUE
275,133,negative,0,negative,Double tap wakeup is not working properly.,PHONE,SOFTWARE
273,133,negative,0,negative,"Left speaker channel is false, only right speaker working.",PHONE,AUDIO
274,133,negative,0,negative,Camera is avarage.,PHONE,CAMERA
276,133,negative,0,negative,Earphone sound quality is not better,PHONE,AUDIO
277,134,negative,0,negative,Poor camera,PHONE,CAMERA
278,135,negative,0,negative,Not a good product...,GENERAL_FEEDBACK,OVERALL SATISFACTION
279,136,positive,1,positive,The product is awesome,GENERAL_FEEDBACK,OVERALL SATISFACTION
280,137,positive,1,positive,Great phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
281,138,negative,0,negative,Hang hota Hai phone,PHONE,PERFORMANCE
282,139,negative,0,positive,Great phone with excellent connectivity.,PHONE,CONNECTIVITY
283,139,negative,0,positive,Quick charging and excellent talk time due to the large battery.,PHONE,BATTERY
284,139,negative,0,negative,the Bluetooth connection on this phone is intermittent and unstable.,PHONE,CONNECTIVITY
285,139,negative,0,negative,the claimed gorilla glass 3 screen is probably ordinary glass as it cracked,PHONE,DISPLAY
290,140,negative,1,negative,Photos takes a lot more memory but not as much clarity,PHONE,CAMERA
289,140,negative,1,negative,"Notification sounds can't be adjusted, is a bit annoying.",PHONE,AUDIO
288,140,negative,1,negative,Feels a bit heavy.,PHONE,DESIGN
287,140,negative,1,positive,Good phone.,GENERAL_FEEDBACK,OVERALL SATISFACTION
286,140,negative,1,positive,Fast delivery.,INFRASTRUCTURE,DELIVERY
291,141,negative,0,negative,I want return it,INFRASTRUCTURE,RETURNS & EXCHANGES
292,142,negative,0,positive,This mobile's performance so good.,PHONE,PERFORMANCE
293,142,negative,0,negative,it's battery does note perform as another 4000mhz battery mobile.,PHONE,BATTERY
294,143,negative,0,negative,Very poor battery,PHONE,BATTERY
295,143,negative,0,negative,Battery drain within 8 hrs,PHONE,BATTERY
296,144,positive,1,positive,It is good 😎😎 smooth !!,PHONE,PERFORMANCE
299,145,negative,0,negative,Not Too Good,GENERAL_FEEDBACK,OVERALL SATISFACTION
298,145,negative,0,negative,Auto touch to screen So Huge problem is,PHONE,DISPLAY
297,145,negative,0,positive,Configuration is High,PHONE,PERFORMANCE
300,146,negative,0,negative,Average phone at this price segment.,GENERAL_FEEDBACK,COMPETITOR COMPARISON
301,146,negative,0,negative,cameras are supposed to be high performance but not satisfied.,PHONE,CAMERA
302,146,negative,0,positive,Battery charged quickly,PHONE,BATTERY
303,146,negative,0,negative,lasts for a full day only.,PHONE,BATTERY
304,147,positive,1,positive,I'm really happy about the product in all specifications,GENERAL_FEEDBACK,OVERALL SATISFACTION
305,147,positive,1,positive,thanks to Amazon for given me good and non damaged product in time.,INFRASTRUCTURE,DELIVERY
307,148,positive,1,positive,"The best phone in terms of specifications, audio sound, battery, screen,camera, ram, rom alongwith corning gorilla glass.",PHONE,PERFORMANCE
306,148,positive,1,positive,All the best things in a mobile without burning ur pocket.,GENERAL_FEEDBACK,PRICE & VALUE
308,149,negative,1,negative,Lacks some apps like pc connection etc.,PHONE,SOFTWARE
309,150,positive,1,positive,Good phone after update,GENERAL_FEEDBACK,OVERALL SATISFACTION
310,151,positive,0,positive,It's good,GENERAL_FEEDBACK,OVERALL SATISFACTION
311,152,negative,0,negative,Camera is not also good.,PHONE,CAMERA
312,152,negative,0,negative,In only 2.5 month it started hanging,PHONE,PERFORMANCE
315,153,negative,0,negative,game ka hanging issue hai,PHONE,PERFORMANCE
313,153,negative,0,negative,copy phone bhej diya,INFRASTRUCTURE,DELIVERY
314,153,negative,0,negative,service bhi nai dete,INFRASTRUCTURE,CUSTOMER SUPPORT
316,154,negative,0,negative,Volte Calls & SMS not coming in when the phone is in standby mode..,PHONE,CONNECTIVITY
318,155,positive,1,positive,All things are good about this phone.,GENERAL_FEEDBACK,OVERALL SATISFACTION
317,155,positive,1,positive,Smoothly running and no problem till now,PHONE,PERFORMANCE
320,156,positive,1,negative,camera is not so good as 13mp,PHONE,CAMERA
321,156,positive,1,negative,heating problem during charging,PHONE,BATTERY
319,156,positive,1,positive,Over all it's good phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
322,157,positive,0,negative,Worst depth effect,PHONE,CAMERA
323,157,positive,0,positive,the selfie here is literally good as compare to other phones in this price range,PHONE,CAMERA
324,157,positive,0,negative,this phone will not save your battery as Redmi phones does,PHONE,BATTERY
325,157,positive,0,positive,Lenovo is providing you fast charger which is about 15w,PHONE,BATTERY
326,158,positive,1,positive,"Camera quality, processor, turbo charging and many more fabulous features.",PHONE,CAMERA
327,158,positive,1,negative,sometimes heating problem may occur.,PHONE,BATTERY
328,158,positive,1,positive,Its an excellent phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
329,159,positive,1,positive,Good mobile nice parfomce,PHONE,PERFORMANCE
330,160,positive,1,positive,Really Good product,GENERAL_FEEDBACK,OVERALL SATISFACTION
331,161,positive,1,positive,Good,GENERAL_FEEDBACK,OVERALL SATISFACTION
332,162,positive,1,positive,One of the Best Mobiles in recent days,GENERAL_FEEDBACK,OVERALL SATISFACTION
333,163,negative,0,negative,No record facilities.,PHONE,SOFTWARE
334,163,negative,0,negative,No adequate instructions to use,GENERAL_FEEDBACK,OVERALL SATISFACTION
335,164,negative,0,negative,It's can't compete with redme note 4,GENERAL_FEEDBACK,COMPETITOR COMPARISON
336,165,positive,1,positive,Excellent product,GENERAL_FEEDBACK,OVERALL SATISFACTION
337,166,negative,0,negative,much more heating when playing simple game,PHONE,BATTERY
